Series Name,Series Code,Country Name,Country Code,2019 [YR2019]
"Population, total",SP.POP.TOTL,Guyana,GUY,807665
"Population, total",SP.POP.TOTL,Haiti,HTI,11105163
"Population, total",SP.POP.TOTL,Honduras,HND,9943633
"Population, total",SP.POP.TOTL,"Hong Kong SAR, China",HKG,7507900
"Population, total",SP.POP.TOTL,Hungary,HUN,9694824
"Population, total",SP.POP.TOTL,Iceland,ISL,360563
"Population, total",SP.POP.TOTL,India,IND,1389030312
"Population, total",SP.POP.TOTL,Indonesia,IDN,272489381
"Population, total",SP.POP.TOTL,"Iran, Islamic Rep.",IRN,87051648
"Population, total",SP.POP.TOTL,Iraq,IRQ,41192171
"Population, total",SP.POP.TOTL,Ireland,IRL,4976456
"Population, total",SP.POP.TOTL,Isle of Man,IMN,83957
"Population, total",SP.POP.TOTL,Israel,ISR,9054000
"Population, total",SP.POP.TOTL,Italy,ITA,59729081
"Population, total",SP.POP.TOTL,Jamaica,JAM,2823271
"Population, total",SP.POP.TOTL,Japan,JPN,126633000
"Population, total",SP.POP.TOTL,Jordan,JOR,10671891
"Population, total",SP.POP.TOTL,Kazakhstan,KAZ,19209555
"Population, total",SP.POP.TOTL,Kenya,KEN,51202827
"Population, total",SP.POP.TOTL,Kiribati,KIR,123921
"Population, total",SP.POP.TOTL,"Korea, Dem. People's Rep.",PRK,26037632
"Population, total",SP.POP.TOTL,"Korea, Rep.",KOR,51764822
"Population, total",SP.POP.TOTL,Kosovo,XKX,1788891
"Population, total",SP.POP.TOTL,Kuwait,KWT,4442316
"Population, total",SP.POP.TOTL,Kyrgyz Republic,KGZ,6590211
"Population, total",SP.POP.TOTL,Lao PDR,LAO,7237636
"Population, total",SP.POP.TOTL,Latvia,LVA,1913822
"Population, total",SP.POP.TOTL,Lebanon,LBN,5794594
"Population, total",SP.POP.TOTL,Lesotho,LSO,2209405
"Population, total",SP.POP.TOTL,Liberia,LBR,5043721
"Population, total",SP.POP.TOTL,Libya,LBY,6951033
"Population, total",SP.POP.TOTL,Liechtenstein,LIE,38563
"Population, total",SP.POP.TOTL,Lithuania,LTU,2811089
"Population, total",SP.POP.TOTL,Luxembourg,LUX,620001
"Population, total",SP.POP.TOTL,"Macao SAR, China",MAC,672000
"Population, total",SP.POP.TOTL,North Macedonia,MKD,1876262
"Population, total",SP.POP.TOTL,Madagascar,MDG,28219554
"Population, total",SP.POP.TOTL,Malawi,MWI,19025752
"Population, total",SP.POP.TOTL,Malaysia,MYS,33440596
"Population, total",SP.POP.TOTL,Maldives,MDV,487731
"Population, total",SP.POP.TOTL,Mali,MLI,21068405
"Population, total",SP.POP.TOTL,Malta,MLT,503912
"Population, total",SP.POP.TOTL,Marshall Islands,MHL,44007
"Population, total",SP.POP.TOTL,Mauritania,MRT,4467708
"Population, total",SP.POP.TOTL,Mauritius,MUS,1265985
"Population, total",SP.POP.TOTL,Mexico,MEX,125762982
"Population, total",SP.POP.TOTL,"Micronesia, Fed. Sts.",FSM,110282
"Population, total",SP.POP.TOTL,Moldova,MDA,2664224
"Population, total",SP.POP.TOTL,Monaco,MCO,38109
"Population, total",SP.POP.TOTL,Mongolia,MNG,3267673
"Population, total",SP.POP.TOTL,Montenegro,MNE,626753
"Population, total",SP.POP.TOTL,Morocco,MAR,36210898
"Population, total",SP.POP.TOTL,Mozambique,MOZ,29884380
"Population, total",SP.POP.TOTL,Myanmar,MMR,52640713
"Population, total",SP.POP.TOTL,Namibia,NAM,2650494
"Population, total",SP.POP.TOTL,Nauru,NRU,11587
"Population, total",SP.POP.TOTL,Nepal,NPL,28414064
"Population, total",SP.POP.TOTL,Netherlands,NLD,17344874
"Population, total",SP.POP.TOTL,New Caledonia,NCL,283606
"Population, total",SP.POP.TOTL,New Zealand,NZL,4979200
"Population, total",SP.POP.TOTL,Nicaragua,NIC,6483657
"Population, total",SP.POP.TOTL,Niger,NER,22947757
"Population, total",SP.POP.TOTL,Nigeria,NGA,209485641
"Population, total",SP.POP.TOTL,Northern Mariana Islands,MNP,48129
"Population, total",SP.POP.TOTL,Norway,NOR,5347896
"Population, total",SP.POP.TOTL,Oman,OMN,4591241
"Population, total",SP.POP.TOTL,Pakistan,PAK,230800899
"Population, total",SP.POP.TOTL,Palau,PLW,17798
"Population, total",SP.POP.TOTL,Panama,PAN,4234700
"Population, total",SP.POP.TOTL,Papua New Guinea,PNG,9609010
"Population, total",SP.POP.TOTL,Paraguay,PRY,6515058
"Population, total",SP.POP.TOTL,Peru,PER,32449303
"Population, total",SP.POP.TOTL,Philippines,PHL,110804683
"Population, total",SP.POP.TOTL,Poland,POL,37965475
"Population, total",SP.POP.TOTL,Portugal,PRT,10286263
"Population, total",SP.POP.TOTL,Puerto Rico (US),PRI,3302691
"Population, total",SP.POP.TOTL,Qatar,QAT,2638657
"Population, total",SP.POP.TOTL,Romania,ROU,19371648
"Population, total",SP.POP.TOTL,Russian Federation,RUS,145453291
"Population, total",SP.POP.TOTL,Rwanda,RWA,12776103
"Population, total",SP.POP.TOTL,Samoa,WSM,209780
"Population, total",SP.POP.TOTL,San Marino,SMR,34663
"Population, total",SP.POP.TOTL,Sao Tome and Principe,STP,213392
"Population, total",SP.POP.TOTL,Saudi Arabia,SAU,30063799
"Population, total",SP.POP.TOTL,Senegal,SEN,16352922
"Population, total",SP.POP.TOTL,Serbia,SRB,6945235
"Population, total",SP.POP.TOTL,Seychelles,SYC,97625
"Population, total",SP.POP.TOTL,Sierra Leone,SLE,7731991
"Population, total",SP.POP.TOTL,Singapore,SGP,5703569
"Population, total",SP.POP.TOTL,Sint Maarten (Dutch part),SXM,40385
"Population, total",SP.POP.TOTL,Slovak Republic,SVK,5454147
"Population, total",SP.POP.TOTL,Slovenia,SVN,2088385
"Population, total",SP.POP.TOTL,Solomon Islands,SLB,728147
"Population, total",SP.POP.TOTL,"Somalia, Fed. Rep.",SOM,16030971
"Population, total",SP.POP.TOTL,South Africa,ZAF,59587885
"Population, total",SP.POP.TOTL,South Sudan,SSD,10423384
"Population, total",SP.POP.TOTL,Spain,ESP,47118501
"Population, total",SP.POP.TOTL,Sri Lanka,LKA,21803000
"Population, total",SP.POP.TOTL,St. Kitts and Nevis,KNA,46952
"Population, total",SP.POP.TOTL,St. Lucia,LCA,177661
"Population, total",SP.POP.TOTL,St. Martin (French part),MAF,34267
"Population, total",SP.POP.TOTL,St. Vincent and the Grenadines,VCT,104167
"Population, total",SP.POP.TOTL,Sudan,SDN,45548175
"Population, total",SP.POP.TOTL,Suriname,SUR,605768
"Population, total",SP.POP.TOTL,Eswatini,SWZ,1179874
"Population, total",SP.POP.TOTL,Sweden,SWE,10278887
"Population, total",SP.POP.TOTL,Switzerland,CHE,8575280
"Population, total",SP.POP.TOTL,Syrian Arab Republic,SYR,20353534
"Population, total",SP.POP.TOTL,Tajikistan,TJK,9529966
"Population, total",SP.POP.TOTL,Tanzania,TZA,59174891
"Population, total",SP.POP.TOTL,Thailand,THA,71522271
"Population, total",SP.POP.TOTL,Timor-Leste,TLS,1300945
"Population, total",SP.POP.TOTL,Togo,TGO,8463068
"Population, total",SP.POP.TOTL,Tonga,TON,105669
"Population, total",SP.POP.TOTL,Trinidad and Tobago,TTO,1363985
"Population, total",SP.POP.TOTL,Tunisia,TUN,11875081
"Population, total",SP.POP.TOTL,Turkiye,TUR,82579440
"Population, total",SP.POP.TOTL,Turkmenistan,TKM,6803944
"Population, total",SP.POP.TOTL,Turks and Caicos Islands,TCA,43166
"Population, total",SP.POP.TOTL,Tuvalu,TUV,10581
"Population, total",SP.POP.TOTL,Uganda,UGA,42999637
"Population, total",SP.POP.TOTL,Ukraine,UKR,44957458
"Population, total",SP.POP.TOTL,United Arab Emirates,ARE,9445785
"Population, total",SP.POP.TOTL,United Kingdom,GBR,66631000
"Population, total",SP.POP.TOTL,United States,USA,330226227
"Population, total",SP.POP.TOTL,Uruguay,URY,3397206
"Population, total",SP.POP.TOTL,Uzbekistan,UZB,32964701
"Population, total",SP.POP.TOTL,Vanuatu,VUT,291985
"Population, total",SP.POP.TOTL,"Venezuela, RB",VEN,28938098
"Population, total",SP.POP.TOTL,Viet Nam,VNM,97173776
"Population, total",SP.POP.TOTL,Virgin Islands (U.S.),VIR,106669
"Population, total",SP.POP.TOTL,West Bank and Gaza,PSE,4685306
"Population, total",SP.POP.TOTL,"Yemen, Rep.",YEM,35111408
"Population, total",SP.POP.TOTL,Zambia,ZMB,18513839
"Population, total",SP.POP.TOTL,Zimbabwe,ZWE,15271368
Population growth (annual %),SP.POP.GROW,Afghanistan,AFG,2.98438913621969
Population growth (annual %),SP.POP.GROW,Albania,ALB,-0.426007367032238
Population growth (annual %),SP.POP.GROW,Algeria,DZA,1.84041291439333
Population growth (annual %),SP.POP.GROW,American Samoa,ASM,-1.38257886328442
Population growth (annual %),SP.POP.GROW,Andorra,AND,1.73050296926809
Population growth (annual %),SP.POP.GROW,Angola,AGO,3.38788422184303
Population growth (annual %),SP.POP.GROW,Antigua and Barbuda,ATG,0.480553889847623
Population growth (annual %),SP.POP.GROW,Argentina,ARG,0.710900853077743
Population growth (annual %),SP.POP.GROW,Armenia,ARM,-0.219168932037313
Population growth (annual %),SP.POP.GROW,Aruba,ABW,0.270504632854835
Population growth (annual %),SP.POP.GROW,Australia,AUS,1.47749071058438
Population growth (annual %),SP.POP.GROW,Austria,AUT,0.444673639004876
Population growth (annual %),SP.POP.GROW,Azerbaijan,AZE,0.846646726414021
Population growth (annual %),SP.POP.GROW,"Bahamas, The",BHS,0.497339072752345
Population growth (annual %),SP.POP.GROW,Bahrain,BHR,-1.29469437720599
Population growth (annual %),SP.POP.GROW,Bangladesh,BGD,0.84641125179804
Population growth (annual %),SP.POP.GROW,Barbados,BRB,0.176538259610281
Population growth (annual %),SP.POP.GROW,Belarus,BLR,-0.201786600970723
Population growth (annual %),SP.POP.GROW,Belgium,BEL,0.540461327098122
Population growth (annual %),SP.POP.GROW,Belize,BLZ,1.46284533510266
Population growth (annual %),SP.POP.GROW,Benin,BEN,2.73538842831436
Population growth (annual %),SP.POP.GROW,Bermuda,BMU,0.431459657274573
Population growth (annual %),SP.POP.GROW,Bhutan,BTN,0.66444642692507
Population growth (annual %),SP.POP.GROW,Bolivia,BOL,1.40657823805422
Population growth (annual %),SP.POP.GROW,Bosnia and Herzegovina,BIH,-1.23185506471358
Population growth (annual %),SP.POP.GROW,Botswana,BWA,1.42262847077389
Population growth (annual %),SP.POP.GROW,Brazil,BRA,0.651994346081362
Population growth (annual %),SP.POP.GROW,British Virgin Islands,VGB,4.8931677135622
Population growth (annual %),SP.POP.GROW,Brunei Darussalam,BRN,1.10621350885567
Population growth (annual %),SP.POP.GROW,Bulgaria,BGR,-1.41171852077109
Population growth (annual %),SP.POP.GROW,Burkina Faso,BFA,2.52989803984158
Population growth (annual %),SP.POP.GROW,Burundi,BDI,3.28367531420808
Population growth (annual %),SP.POP.GROW,Cabo Verde,CPV,0.134109462358547
Population growth (annual %),SP.POP.GROW,Cambodia,KHM,1.26258301009769
Population growth (annual %),SP.POP.GROW,Cameroon,CMR,2.78164441246944
Population growth (annual %),SP.POP.GROW,Canada,CAN,1.46171259938134
Population growth (annual %),SP.POP.GROW,Cayman Islands,CYM,2.08009420729087
Population growth (annual %),SP.POP.GROW,Central African Republic,CAF,1.34469255324203
Population growth (annual %),SP.POP.GROW,Chad,TCD,3.21991132048391
Population growth (annual %),SP.POP.GROW,Channel Islands,CHI,0.417438625700863
Population growth (annual %),SP.POP.GROW,Chile,CHL,1.59911795256016
Population growth (annual %),SP.POP.GROW,China,CHN,0.354740890170827
Population growth (annual %),SP.POP.GROW,Colombia,COL,1.78615507724394
Population growth (annual %),SP.POP.GROW,Comoros,COM,1.92385702700328
Population growth (annual %),SP.POP.GROW,"Congo, Dem. Rep.",COD,3.1695285579572
Population growth (annual %),SP.POP.GROW,"Congo, Rep.",COG,2.40634419722279
Population growth (annual %),SP.POP.GROW,Costa Rica,CRI,0.838278384859255
Population growth (annual %),SP.POP.GROW,Cote d'Ivoire,CIV,2.61916841176218
Population growth (annual %),SP.POP.GROW,Croatia,HRV,-0.992302961069294
Population growth (annual %),SP.POP.GROW,Cuba,CUB,-0.216424863402489
Population growth (annual %),SP.POP.GROW,Curacao,CUW,-1.19643951751799
Population growth (annual %),SP.POP.GROW,Cyprus,CYP,1.24612155650882
Population growth (annual %),SP.POP.GROW,Czechia,CZE,0.393788864202175
Population growth (annual %),SP.POP.GROW,Denmark,DNK,0.358130915892652
Population growth (annual %),SP.POP.GROW,Djibouti,DJI,1.55766086478885
Population growth (annual %),SP.POP.GROW,Dominica,DMA,-0.432182012456847
Population growth (annual %),SP.POP.GROW,Dominican Republic,DOM,1.0333133463082
Population growth (annual %),SP.POP.GROW,Ecuador,ECU,1.68935479627168
Population growth (annual %),SP.POP.GROW,"Egypt, Arab Rep.",EGY,1.75497438173801
Population growth (annual %),SP.POP.GROW,El Salvador,SLV,0.0403628806830014
Population growth (annual %),SP.POP.GROW,Equatorial Guinea,GNQ,3.271454421427
Population growth (annual %),SP.POP.GROW,Eritrea,ERI,1.47474580694345
Population growth (annual %),SP.POP.GROW,Estonia,EST,0.371554389037477
Population growth (annual %),SP.POP.GROW,Ethiopia,ETH,2.69123978261516
Population growth (annual %),SP.POP.GROW,Faroe Islands,FRO,1.55078067228514
Population growth (annual %),SP.POP.GROW,Fiji,FJI,-0.24900685817593
Population growth (annual %),SP.POP.GROW,Finland,FIN,0.110191690491055
Population growth (annual %),SP.POP.GROW,France,FRA,0.332559129027963
Population growth (annual %),SP.POP.GROW,French Polynesia,PYF,-0.279503231980126
Population growth (annual %),SP.POP.GROW,Gabon,GAB,2.47279132038176
Population growth (annual %),SP.POP.GROW,"Gambia, The",GMB,2.35622071960344
Population growth (annual %),SP.POP.GROW,Georgia,GEO,-0.171565740223868
Population growth (annual %),SP.POP.GROW,Germany,DEU,0.22551987421288
Population growth (annual %),SP.POP.GROW,Ghana,GHA,2.00780519953703
Population growth (annual %),SP.POP.GROW,Gibraltar,GIB,1.81957598739227
Population growth (annual %),SP.POP.GROW,Greece,GRC,-0.105339392724138
Population growth (annual %),SP.POP.GROW,Greenland,GRL,0.359917714454119
Population growth (annual %),SP.POP.GROW,Grenada,GRD,0.250354079448358
Population growth (annual %),SP.POP.GROW,Guam,GUM,-0.536848682318792
Population growth (annual %),SP.POP.GROW,Guatemala,GTM,1.52062955252943
Population growth (annual %),SP.POP.GROW,Guinea,GIN,2.56100451729991
Population growth (annual %),SP.POP.GROW,Guinea-Bissau,GNB,2.34095994762157
Population growth (annual %),SP.POP.GROW,Guyana,GUY,2.0146740033225
Population growth (annual %),SP.POP.GROW,Haiti,HTI,1.29423660619831
Population growth (annual %),SP.POP.GROW,Honduras,HND,1.81063773761993
Population growth (annual %),SP.POP.GROW,"Hong Kong SAR, China",HKG,0.739283471323064
Population growth (annual %),SP.POP.GROW,Hungary,HUN,-0.125143121699401
Population growth (annual %),SP.POP.GROW,Iceland,ISL,2.19893225826166
Population growth (annual %),SP.POP.GROW,India,IND,1.04001395098104
Population growth (annual %),SP.POP.GROW,Indonesia,IDN,0.935604959235128
Population growth (annual %),SP.POP.GROW,"Iran, Islamic Rep.",IRN,1.07831720901251
Population growth (annual %),SP.POP.GROW,Iraq,IRQ,2.27501115691232
Population growth (annual %),SP.POP.GROW,Ireland,IRL,1.58865409604595
Population growth (annual %),SP.POP.GROW,Isle of Man,IMN,0.181209143421298
Population growth (annual %),SP.POP.GROW,Israel,ISR,1.90898263957994
Population growth (annual %),SP.POP.GROW,Italy,ITA,-0.700011055973408
Population growth (annual %),SP.POP.GROW,Jamaica,JAM,0.112486030848061
Population growth (annual %),SP.POP.GROW,Japan,JPN,-0.140464977878172
Population growth (annual %),SP.POP.GROW,Jordan,JOR,1.98343822476301
Population growth (annual %),SP.POP.GROW,Kazakhstan,KAZ,1.45157995956237
Population growth (annual %),SP.POP.GROW,Kenya,KEN,1.96381549826771
Population growth (annual %),SP.POP.GROW,Kiribati,KIR,1.4934933399344
Population growth (annual %),SP.POP.GROW,"Korea, Dem. People's Rep.",PRK,0.409804313568107
Population growth (annual %),SP.POP.GROW,"Korea, Rep.",KOR,0.347874968577526
Population growth (annual %),SP.POP.GROW,Kosovo,XKX,-0.457058941890623
Population growth (annual %),SP.POP.GROW,Kuwait,KWT,2.71071332448015
Population growth (annual %),SP.POP.GROW,Kyrgyz Republic,KGZ,2.24236415055009
Population growth (annual %),SP.POP.GROW,Lao PDR,LAO,1.52576304616693
Population growth (annual %),SP.POP.GROW,Latvia,LVA,-0.695239140136066
Population growth (annual %),SP.POP.GROW,Lebanon,LBN,-3.21837128976045
Population growth (annual %),SP.POP.GROW,Lesotho,LSO,1.17469837087993
Population growth (annual %),SP.POP.GROW,Liberia,LBR,1.98225492944197
Population growth (annual %),SP.POP.GROW,Libya,LBY,1.47795950725002
Population growth (annual %),SP.POP.GROW,Liechtenstein,LIE,0.825428790511035
Population growth (annual %),SP.POP.GROW,Lithuania,LTU,-0.288120400605037
Population growth (annual %),SP.POP.GROW,Luxembourg,LUX,1.9628449198635
Population growth (annual %),SP.POP.GROW,"Macao SAR, China",MAC,1.96865626033754
Population growth (annual %),SP.POP.GROW,North Macedonia,MKD,-0.679308688552216
Population growth (annual %),SP.POP.GROW,Madagascar,MDG,2.60136633480103
Population growth (annual %),SP.POP.GROW,Malawi,MWI,2.65059567621331
Population growth (annual %),SP.POP.GROW,Malaysia,MYS,1.59646653343981
Population growth (annual %),SP.POP.GROW,Maldives,MDV,3.04593554452725
Population growth (annual %),SP.POP.GROW,Mali,MLI,3.01814494306617
Population growth (annual %),SP.POP.GROW,Malta,MLT,4.05171762437788
Population growth (annual %),SP.POP.GROW,Marshall Islands,MHL,-2.86271396531764
Population growth (annual %),SP.POP.GROW,Mauritania,MRT,2.95347297852629
Population growth (annual %),SP.POP.GROW,Mauritius,MUS,0.0322330642925213
Population growth (annual %),SP.POP.GROW,Mexico,MEX,0.950144329831411
Population growth (annual %),SP.POP.GROW,"Micronesia, Fed. Sts.",FSM,0.338797095962346
Population growth (annual %),SP.POP.GROW,Moldova,MDA,-1.60031653578231
Population growth (annual %),SP.POP.GROW,Monaco,MCO,-0.118012680389237
Population growth (annual %),SP.POP.GROW,Mongolia,MNG,1.8371507310985
Population growth (annual %),SP.POP.GROW,Montenegro,MNE,0.0502716675485305
Population growth (annual %),SP.POP.GROW,Morocco,MAR,1.03022315933698
Population growth (annual %),SP.POP.GROW,Mozambique,MOZ,2.9397415898529
Population growth (annual %),SP.POP.GROW,Myanmar,MMR,0.702425162747352
Population growth (annual %),SP.POP.GROW,Namibia,NAM,2.79932223646079
Population growth (annual %),SP.POP.GROW,Nauru,NRU,0.953874731639391
Population growth (annual %),SP.POP.GROW,Nepal,NPL,1.18377302604311
Population growth (annual %),SP.POP.GROW,Netherlands,NLD,0.65507157480522
Population growth (annual %),SP.POP.GROW,New Caledonia,NCL,0.0229217470195887
Population growth (annual %),SP.POP.GROW,New Zealand,NZL,1.59115889619722
Population growth (annual %),SP.POP.GROW,Nicaragua,NIC,1.29742127419157
Population growth (annual %),SP.POP.GROW,Niger,NER,3.36654855482346
Population growth (annual %),SP.POP.GROW,Nigeria,NGA,2.1944019229433
Population growth (annual %),SP.POP.GROW,Northern Mariana Islands,MNP,-1.95055872430955
Population growth (annual %),SP.POP.GROW,Norway,NOR,0.675061373245644
Population growth (annual %),SP.POP.GROW,Oman,OMN,-0.144431732263903
Population growth (annual %),SP.POP.GROW,Pakistan,PAK,1.69187124669657
Population growth (annual %),SP.POP.GROW,Palau,PLW,-0.0898573575007226
Population growth (annual %),SP.POP.GROW,Panama,PAN,1.59097727067192
Population growth (annual %),SP.POP.GROW,Papua New Guinea,PNG,2.25754045467385
Population growth (annual %),SP.POP.GROW,Paraguay,PRY,1.35488116957369
Population growth (annual %),SP.POP.GROW,Peru,PER,1.71486934751345
Population growth (annual %),SP.POP.GROW,Philippines,PHL,1.21615534645287
Population growth (annual %),SP.POP.GROW,Poland,POL,-0.0244271070993493
Population growth (annual %),SP.POP.GROW,Portugal,PRT,0.0237334946497115
Population growth (annual %),SP.POP.GROW,Puerto Rico (US),PRI,0.364032148393714
Population growth (annual %),SP.POP.GROW,Qatar,QAT,2.21962210028933
Population growth (annual %),SP.POP.GROW,Romania,ROU,-0.526814821936341
Population growth (annual %),SP.POP.GROW,Russian Federation,RUS,0.037947213753429
Population growth (annual %),SP.POP.GROW,Rwanda,RWA,2.28086099658628
Population growth (annual %),SP.POP.GROW,Samoa,WSM,1.05329202031498
Population growth (annual %),SP.POP.GROW,San Marino,SMR,0.407603368403658
Population growth (annual %),SP.POP.GROW,Sao Tome and Principe,STP,1.51332392108067
Population growth (annual %),SP.POP.GROW,Saudi Arabia,SAU,-0.439701419074031
Population growth (annual %),SP.POP.GROW,Senegal,SEN,2.71760793051867
Population growth (annual %),SP.POP.GROW,Serbia,SRB,-0.536610017822353
Population growth (annual %),SP.POP.GROW,Seychelles,SYC,0.887925293341637
Population growth (annual %),SP.POP.GROW,Sierra Leone,SLE,2.32146457882717
Population growth (annual %),SP.POP.GROW,Singapore,SGP,1.14428330688929
Population growth (annual %),SP.POP.GROW,Sint Maarten (Dutch part),SXM,1.6805019872063
Population growth (annual %),SP.POP.GROW,Slovak Republic,SVK,0.135328072840865
Population growth (annual %),SP.POP.GROW,Slovenia,SVN,0.696304046333357
Population growth (annual %),SP.POP.GROW,Solomon Islands,SLB,2.65049803426017
Population growth (annual %),SP.POP.GROW,"Somalia, Fed. Rep.",SOM,3.67525774477084
Population growth (annual %),SP.POP.GROW,South Africa,ZAF,1.64957495527878
Population growth (annual %),SP.POP.GROW,South Sudan,SSD,2.92439531185626
Population growth (annual %),SP.POP.GROW,Spain,ESP,0.716697775475724
Population growth (annual %),SP.POP.GROW,Sri Lanka,LKA,0.611875945764341
Population growth (annual %),SP.POP.GROW,St. Kitts and Nevis,KNA,-0.119199673543347
Population growth (annual %),SP.POP.GROW,St. Lucia,LCA,0.3631466895222
Population growth (annual %),SP.POP.GROW,St. Martin (French part),MAF,-4.96694243141292
Population growth (annual %),SP.POP.GROW,St. Vincent and the Grenadines,VCT,-0.725995928811949
Population growth (annual %),SP.POP.GROW,Sudan,SDN,2.93537902352139
Population growth (annual %),SP.POP.GROW,Suriname,SUR,1.03794155144619
Population growth (annual %),SP.POP.GROW,Eswatini,SWZ,0.931970814127083
Population growth (annual %),SP.POP.GROW,Sweden,SWE,1.01372226345511
Population growth (annual %),SP.POP.GROW,Switzerland,CHE,0.713313668444329
Population growth (annual %),SP.POP.GROW,Syrian Arab Republic,SYR,3.88559879868016
